publication_schema_version,model_key,model,model_manifest_sha256,scheduled_episodes,completed_episodes,parse_failure_episodes,eligible_episodes,scheduled_groups,eligible_groups,repeats_per_group,dar,tar_attempted,tar_executed,tar_strong,delta_dt_attempted,delta_dt_executed,delta_dt_strong,dar_ci_low,dar_ci_high,tar_attempted_ci_low,tar_attempted_ci_high,tar_executed_ci_low,tar_executed_ci_high,tar_strong_ci_low,tar_strong_ci_high,delta_dt_attempted_ci_low,delta_dt_attempted_ci_high,delta_dt_executed_ci_low,delta_dt_executed_ci_high,delta_dt_strong_ci_low,delta_dt_strong_ci_high,required_evidence_insufficient,attempted_executed_path_mismatch,checkpoint_violations,cases_sha256,tools_sha256,system_prompt_sha256,schedule_projection_sha256,code_manifest_sha256,comparability_contract_sha256,configuration_sha256,plan_sha256,schedule_sha256,summary_sha256,source_analysis_sha256
dfah-local-reconciliation-aggregate-v1,gemma4-e4b,gemma4:e4b,c6eb396dbd5992bbe3f5cdb947e8bbc0ee413d7c17e2beaae69f5d569cf982eb,400,400,0,400,50,50,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,a5b3a51d66ceabc29e430d9abbbc0efe4ac7265bb8570524a4d6dcf39e451260,cd4e1bda4f4d275f1916a1f3ddd7c6966b9283beaa0c43ea5ef544d3e5ddc1ed,4d763a1e93fedda223d6ad6fb38f36136f085543da8343a2956592cfcd0b5669,66706eb292a37b13db7c477d6d4a3eef530b91bf90fc61e4abef186d5cd890e4,594b66e36d94f532e7889a924b6cc87ad7f7964c510bb7c3c9a94880d45599dc,3a8c870d13e19944cf5a6552d4e7ccf73ccfef55321f829acf1e78fbaabeeb83,cf4cdac1319020490fe8d27248ba39f4c83cd6e44dfc2f1641cbdd3b63dae83f,e55c186ff9ef5dd2554eebb96394318f1a9b24144612ba3743061393b364c106,f292ca6b16e9dcdd7d69bec2ce74bbb34a98d42d3519c6e441edb2d3aabddf02,60ef2c3f4a509cd56adaae107b510212501c1a406831ecaa0348cd1494277fb3,968cc2f3fd5950d408f852c57acfbd197f3533fc1a6aeea4b4a7522a2f31268c
dfah-local-reconciliation-aggregate-v1,qwen3.5,qwen3.5:latest,6488c96fa5faab64bb65cbd30d4289e20e6130ef535a93ef9a49f42eda893ea7,400,400,8,392,50,49,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,a5b3a51d66ceabc29e430d9abbbc0efe4ac7265bb8570524a4d6dcf39e451260,cd4e1bda4f4d275f1916a1f3ddd7c6966b9283beaa0c43ea5ef544d3e5ddc1ed,4d763a1e93fedda223d6ad6fb38f36136f085543da8343a2956592cfcd0b5669,66706eb292a37b13db7c477d6d4a3eef530b91bf90fc61e4abef186d5cd890e4,594b66e36d94f532e7889a924b6cc87ad7f7964c510bb7c3c9a94880d45599dc,3a8c870d13e19944cf5a6552d4e7ccf73ccfef55321f829acf1e78fbaabeeb83,9bd587d6bc7cfd0c277565ab6099eae3441d08f3266b4caed84f397880e86a98,cd5d87e1484c9e0d78406c098f42c2818c1085557303a319d3e23ee0ea156b86,73a37f2cd25b922f8d8232788beae52fca51813217933f6d095d325f5cd542bf,96a85b66c36ba64990e876c54bccad1f0721f426299d4856af285e17d186c9df,968cc2f3fd5950d408f852c57acfbd197f3533fc1a6aeea4b4a7522a2f31268c
