schema_version,batch_id,suite_version,model,scheduled_episodes,terminal_capture_envelopes,eligible_episodes,planned_groups,eligible_groups,excluded_groups,compliance_eligible_groups,dataops_eligible_groups,decision_agreement,decision_agreement_ci_low,decision_agreement_ci_high,tar_name_canonical_arguments,tar_name_canonical_arguments_ci_low,tar_name_canonical_arguments_ci_high,tar_result_only,tar_result_only_ci_low,tar_result_only_ci_high,decision_minus_name_canonical_arguments,decision_minus_name_canonical_arguments_ci_low,decision_minus_name_canonical_arguments_ci_high,decision_minus_name_canonical_arguments_p_value,decision_minus_result_only,decision_minus_result_only_ci_low,decision_minus_result_only_ci_high,decision_minus_result_only_p_value,bootstrap_resamples,bootstrap_seed,permutation_draws,permutation_seed,analysis_contract_sha256,population_sha256,live_plan_sha256,schedule_sha256,capture_inventory_sha256,provider_capture_inventory_sha256,analysis_script_sha256
dfah-prospective-component-analysis-v1,prospective-api-20260723-01,6.2.0,gpt-5.6-terra,300,300,288,100,96,4,50,46,0.951304347826087,0.9240579710144927,0.9757971014492752,0.5150724637681159,0.47507246376811596,0.5559420289855073,0.5434782608695652,0.5023188405797101,0.5871014492753623,0.4362318840579712,0.39086956521739147,0.47884057971014515,9.999000099990002e-05,0.4078260869565218,0.36000000000000004,0.4528985507246378,9.999000099990002e-05,10000,2026072301,10000,2026072302,b8ca2db285efff801ed34090599c547849756ee5d24eeb954a3c021148e59e37,3c6758fbeee003d1d3530124897a8cf1f5dcc34981f655493af8a102b4da7667,6d619cc22cd04ce44831273de52cdfd298032b2d9ca46c250b8023916ca20263,792517a13242f0719f23e8dbe8fb08fbb8d1e18ceb22394dd60cca05314ea476,83c812d4ba6bae862df6544b903ce3bfe4a070fc4ff0a45d3178f13afd8d7589,c331b1a9129a94e4667b0555ae3267ded42ca176a19bf32c9542d9465353d165,8b7f4cebf773457bfe6c63f93c01369d116b34b7b50a87111ae48a55d03a9b42
dfah-prospective-component-analysis-v1,prospective-api-20260723-01,6.2.0,claude-sonnet-5,300,300,282,100,94,6,50,44,0.9415151515151514,0.9163636363636363,0.9653030303030303,0.45000000000000007,0.41666666666666674,0.4833333333333335,0.5690909090909092,0.5234810606060605,0.6174242424242424,0.4915151515151518,0.4510606060606063,0.5291022727272727,9.999000099990002e-05,0.37242424242424244,0.3221212121212122,0.42136363636363633,9.999000099990002e-05,10000,2026072301,10000,2026072302,b8ca2db285efff801ed34090599c547849756ee5d24eeb954a3c021148e59e37,3c6758fbeee003d1d3530124897a8cf1f5dcc34981f655493af8a102b4da7667,6d619cc22cd04ce44831273de52cdfd298032b2d9ca46c250b8023916ca20263,792517a13242f0719f23e8dbe8fb08fbb8d1e18ceb22394dd60cca05314ea476,83c812d4ba6bae862df6544b903ce3bfe4a070fc4ff0a45d3178f13afd8d7589,c331b1a9129a94e4667b0555ae3267ded42ca176a19bf32c9542d9465353d165,8b7f4cebf773457bfe6c63f93c01369d116b34b7b50a87111ae48a55d03a9b42
