model,model_name,observed_gap,p_value,n_permutations,seed,null
gemini-2.0-flash,Gemini 2.0 Flash,0.05000000000000001,0.014198580141985802,10000,42,within_task_sign_symmetry_of_paired_gap
gemini-2.5-pro,Gemini 2.5 Pro,0.13636363636363635,0.000999900009999,10000,42,within_task_sign_symmetry_of_paired_gap
