model,model_name,task,left_out_case_id,n_cases_full,n_cases_leave_one_out,full_gap,leave_one_out_gap,absolute_change
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-040,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-041,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-042,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-043,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-044,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-045,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-046,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-047,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-048,50,49,0.006666666666666665,-2.2657612747452172e-18,0.006666666666666668
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-049,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,compliance,TXN-2025-050,50,49,0.006666666666666665,0.006802721088435373,0.00013605442176870767
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-001,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-002,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-003,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-004,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-005,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-006,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-007,50,49,0.09333333333333335,0.08843537414965989,0.004897959183673459
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-008,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-009,50,49,0.09333333333333335,0.08843537414965989,0.004897959183673459
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-010,50,49,0.09333333333333335,0.08843537414965989,0.004897959183673459
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-011,50,49,0.09333333333333335,0.08843537414965989,0.004897959183673459
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-012,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
gemini-2.0-flash,Gemini 2.0 Flash,dataops,DQ-013,50,49,0.09333333333333335,0.09523809523809526,0.001904761904761909
