model,n_tasks,n_case_groups,n_episodes,dar,tar,tar_multiset,tar_set,gap,gap_multiset,gap_set,tool_run_rate,model_name,protocol,decision_concentration
qwen3.5_latest,2,100,800,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,Qwen 3.5,"temperature 0, seed 42",0.043267122163122396
gemma4_latest,2,100,800,0.99875,0.9975,0.99875,0.99875,0.00125,0.0,0.0,0.99,Gemma 4,"temperature 0, seed 42",0.13759567799274702
qwen2.5_7b-instruct,2,100,800,0.9962500000000001,0.9962500000000001,0.9962500000000001,0.9962500000000001,0.0,0.0,0.0,1.0,Qwen 2.5 7B,"temperature 0, seed 42",0.27089227548476075
gpt-oss_20b,2,100,800,0.98,0.97875,0.98,0.9875,0.0012500000000000002,0.0,-0.0075,0.98875,GPT-OSS 20B,"temperature 0, seed 42",0.14543995728580794
gemini-2.0-flash,2,100,300,0.9366666666666666,0.8866666666666667,0.9,0.94,0.05,0.036666666666666674,-0.003333333333333334,0.9933333333333334,Gemini 2.0 Flash,"temperature 0, no seed control",0.08997832092254843
gemini-2.5-pro,1,44,132,0.8863636363636364,0.75,0.7954545454545454,0.856060606060606,0.13636363636363638,0.09090909090909091,0.030303030303030307,0.9545454545454546,Gemini 2.5 Pro,"temperature 0, no seed control",0.15102698779809054
claude-opus-4-20250514,2,75,225,0.89,0.7033333333333334,0.7533333333333334,0.8566666666666667,0.1866666666666667,0.1366666666666667,0.03333333333333333,1.0,Claude Opus 4,"provider-default temperature, no seed control",0.36964877741330243
claude-sonnet-4-20250514,2,100,300,0.9433333333333334,0.7333333333333334,0.7866666666666666,0.9199999999999999,0.21000000000000002,0.15666666666666668,0.02333333333333333,1.0,Claude Sonnet 4,"provider-default temperature, no seed control",0.5760995193852099
