model,model_name,modal_dar,modal_tar,first_anchored_dar,first_anchored_tar,dar_delta,tar_delta,anchor
claude-opus-4-20250514,Claude Opus 4,0.8899999999999999,0.7033333333333334,0.8533333333333333,0.6500000000000001,0.036666666666666625,0.05333333333333323,first_replay_inclusive
claude-sonnet-4-20250514,Claude Sonnet 4,0.9433333333333334,0.7333333333333334,0.9266666666666666,0.6866666666666668,0.01666666666666672,0.046666666666666634,first_replay_inclusive
gemini-2.0-flash,Gemini 2.0 Flash,0.9366666666666666,0.8866666666666667,0.9233333333333333,0.8633333333333333,0.013333333333333308,0.023333333333333428,first_replay_inclusive
gemini-2.5-pro,Gemini 2.5 Pro,0.8863636363636362,0.7500000000000001,0.8787878787878788,0.7121212121212122,0.007575757575757458,0.037878787878787956,first_replay_inclusive
gemma4_latest,Gemma 4,0.99875,0.9975,0.99125,0.9824999999999999,0.007500000000000062,0.015000000000000124,first_replay_inclusive
gpt-oss_20b,GPT-OSS 20B,0.98,0.97875,0.875,0.8512500000000001,0.10499999999999998,0.12749999999999995,first_replay_inclusive
qwen2.5_7b-instruct,Qwen 2.5 7B,0.9962500000000001,0.9962500000000001,0.97375,0.97375,0.022500000000000075,0.022500000000000075,first_replay_inclusive
qwen3.5_latest,Qwen 3.5,1.0,1.0,1.0,1.0,0.0,0.0,first_replay_inclusive
