model,n_eligible,n_any_variation,pct_any_variation,n_moderate_tar_lt_0.9,pct_moderate,n_strong_tar_lt_0.7,pct_strong
claude-opus-4-20250514,91,44,48.35164835164835,44,48.35164835164835,44,48.35164835164835
claude-sonnet-4-20250514,126,70,55.55555555555556,70,55.55555555555556,70,55.55555555555556
gemini-2.0-flash,129,33,25.581395348837212,33,25.581395348837212,33,25.581395348837212
gemini-2.5-pro,53,30,56.60377358490566,30,56.60377358490566,30,56.60377358490566
gemma4_latest,148,5,3.3783783783783785,5,3.3783783783783785,0,0.0
gpt-oss_20b,115,16,13.91304347826087,16,13.91304347826087,0,0.0
qwen2.5_7b-instruct,147,1,0.6802721088435374,1,0.6802721088435374,0,0.0
qwen3.5_latest,103,0,0.0,0,0.0,0,0.0
